Titulo de la iniciativa,Descripcin detallada,Ubicacin aproximada (si aplica).lat,Ubicacin aproximada (si aplica).lon,Direccin o referencias,Es un ofrecimiento individual o de grupo,Tareas realizadas y pendientes sobre este posteo,Categoria,Sector,Foto / Volante,Video (opcional),(Oferente) Nombre de la organizacion o persona referente,(Oferente) Email,(Oferente) Telefono,"(Oferente) Web, Twitter, Grupo Whatsapp, Telegram, y otras redes",(Oferente) Informacion adicional de la organizacion o areas en las que requiere apoyo,Fuente,Link a la fuente,Conexiones o colaboraciones,Acuerdo de consentimiento,Inicio de vigencia de la iniciativa,Fin de vigencia de la iniciativa,ODS Relacionados
Ferias apoyadas por la Dirección de Comercialización MAG,"Feria desarrollada en el distrito de San Estanislao, con 4 comités y 90 beneficiarios",,,,Somos una organización o grupo,,Productos / Servicios,,,Dirección de Comercialización - MAG,,,59521585031,https://www.facebook.com/direccionde.comercializacion,,,,,Estoy de acuerdo en que sea pÃºblica la informaciÃ³n proporcionada en el presente formulario,,,ODS 2: Hambre cero
Ferias apoyadas por la Dirección de Comercialización MAG,"Feria desarrollada en el distrito de Lima, con 3 comités y 45 beneficiarios",,,,Somos una organización o grupo,,Productos / Servicios,,,Dirección de Comercialización - MAG,,,59521585031,https://www.facebook.com/direccionde.comercializacion,,,,,Estoy de acuerdo en que sea pÃºblica la informaciÃ³n proporcionada en el presente formulario,,,ODS 2: Hambre cero
Ferias apoyadas por la Dirección de Comercialización MAG,"Feria desarrollada en el distrito de Capiivary, con 4 comités y 104 beneficiarios",,,,Somos una organización o grupo,,Productos / Servicios,,,Dirección de Comercialización - MAG,,,59521585031,https://www.facebook.com/direccionde.comercializacion,,,,,Estoy de acuerdo en que sea pÃºblica la informaciÃ³n proporcionada en el presente formulario,,,ODS 2: Hambre cero
Ferias apoyadas por la Dirección de Comercialización MAG,"Feria desarrollada en el distrito de 25 de diciembre, con 3 comités y 48 beneficiarios",,,,Somos una organización o grupo,,Productos / Servicios,,,Dirección de Comercialización - MAG,,,59521585031,https://www.facebook.com/direccionde.comercializacion,,,,,Estoy de acuerdo en que sea pÃºblica la informaciÃ³n proporcionada en el presente formulario,,,ODS 2: Hambre cero
Ferias apoyadas por la Dirección de Comercialización MAG,"Feria desarrollada en el distrito de Caazapá, con 10 comités y 110 beneficiarios",,,,Somos una organización o grupo,,Productos / Servicios,,,Dirección de Comercialización - MAG,,,59521585031,https://www.facebook.com/direccionde.comercializacion,,,,,Estoy de acuerdo en que sea pÃºblica la informaciÃ³n proporcionada en el presente formulario,,,ODS 2: Hambre cero
Ferias apoyadas por la Dirección de Comercialización MAG,"Feria desarrollada en el distrito de Juan E. Oleary, con 20 comités y 227 beneficiarios",,,,Somos una organización o grupo,,Productos / Servicios,,,Dirección de Comercialización - MAG,,,59521585031,https://www.facebook.com/direccionde.comercializacion,,,,,Estoy de acuerdo en que sea pÃºblica la informaciÃ³n proporcionada en el presente formulario,,,ODS 2: Hambre cero
Ferias apoyadas por la Dirección de Comercialización MAG,"Feria desarrollada en el distrito de Arroyos y Esteros, con 7 comités y 90 beneficiarios",,,,Somos una organización o grupo,,Productos / Servicios,,,Dirección de Comercialización - MAG,,,59521585031,https://www.facebook.com/direccionde.comercializacion,,,,,Estoy de acuerdo en que sea pÃºblica la informaciÃ³n proporcionada en el presente formulario,,,ODS 2: Hambre cero
Ferias apoyadas por la Dirección de Comercialización MAG,"Feria desarrollada en el distrito de Villarica, con 9 comités y 111 beneficiarios",,,,Somos una organización o grupo,,Productos / Servicios,,,Dirección de Comercialización - MAG,,,59521585031,https://www.facebook.com/direccionde.comercializacion,,,,,Estoy de acuerdo en que sea pÃºblica la informaciÃ³n proporcionada en el presente formulario,,,ODS 2: Hambre cero
Ferias apoyadas por la Dirección de Comercialización MAG,"Feria desarrollada en el distrito de P. J. Caballero, con 15 comités y 120 beneficiarios",,,,Somos una organización o grupo,,Productos / Servicios,,,Dirección de Comercialización - MAG,,,59521585031,https://www.facebook.com/direccionde.comercializacion,,,,,Estoy de acuerdo en que sea pÃºblica la informaciÃ³n proporcionada en el presente formulario,,,ODS 2: Hambre cero
Ferias apoyadas por la Dirección de Comercialización MAG,"Feria desarrollada en el distrito de Santa María, con 3 comités y 42 beneficiarios",,,,Somos una organización o grupo,,Productos / Servicios,,,Dirección de Comercialización - MAG,,,59521585031,https://www.facebook.com/direccionde.comercializacion,,,,,Estoy de acuerdo en que sea pÃºblica la informaciÃ³n proporcionada en el presente formulario,,,ODS 2: Hambre cero
Ferias apoyadas por la Dirección de Comercialización MAG,"Feria desarrollada en el distrito de San Juan Bautista, con 7 comités y 80 beneficiarios",,,,Somos una organización o grupo,,Productos / Servicios,,,Dirección de Comercialización - MAG,,,59521585031,https://www.facebook.com/direccionde.comercializacion,,,,,Estoy de acuerdo en que sea pÃºblica la informaciÃ³n proporcionada en el presente formulario,,,ODS 2: Hambre cero
Ferias apoyadas por la Dirección de Comercialización MAG,"Feria desarrollada en el distrito de Santa Rosa, con 6 comités y 90 beneficiarios",,,,Somos una organización o grupo,,Productos / Servicios,,,Dirección de Comercialización - MAG,,,59521585031,https://www.facebook.com/direccionde.comercializacion,,,,,Estoy de acuerdo en que sea pÃºblica la informaciÃ³n proporcionada en el presente formulario,,,ODS 2: Hambre cero
